time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,text
2,2018,Porpoise Head,4000,4000,1315.8850447610507,1826.4826739997156,177.90466767000532,5157.580017872303,1315.9 (177.9 to 5157.6)
2,2018,Port Elliot Deep,4000,4000,371.9132879165455,962.9448068624232,27.0689192742146,3681.918451876568,371.9 (27.1 to 3681.9)
2,2018,Port Gawler,4000,4000,566.0709178044547,1090.9586410406507,52.46912976618851,3869.725457128577,566.1 (52.5 to 3869.7)
2,2018,Rapid Bay Jetty,4000,4000,726.7346010298791,990.5173457489449,95.26945312606237,2786.419631225746,726.7 (95.3 to 2786.4)
2,2018,Rapid Head East,4000,4000,449.1379200625749,611.9333644156228,57.296294651406974,1719.974618696096,449.1 (57.3 to 1720)
2,2018,Rapid Head Windmill,4000,4000,500.88252960956584,670.8934893245979,61.65212268968566,1919.399650972836,500.9 (61.7 to 1919.4)
2,2018,Ripple Rock,4000,4000,758.3402662591507,1097.7655258385303,99.73161724605598,3166.8038514212567,758.3 (99.7 to 3166.8)
2,2018,Seacliff Reef,4000,4000,2812.9470175062606,6860.910517891464,209.1404367299859,24535.370230133656,2812.9 (209.1 to 24535.4)
2,2018,Semaphore Reef,4000,4000,127.32760408216245,217.7313729667504,15.714002622497048,688.2356873548188,127.3 (15.7 to 688.2)
2,2018,Shag Rock Carrickalinga,4000,4000,2299.5053891509124,3958.5953141106606,245.56112604732942,13431.638034014906,2299.5 (245.6 to 13431.6)
2,2018,South Shores,4000,4000,95.65739319301157,163.956372840456,11.331238334307503,532.1790263148142,95.7 (11.3 to 532.2)
2,2018,Southport,4000,4000,438.71976836885665,603.9931846856804,57.07947249476397,1729.229702668249,438.7 (57.1 to 1729.2)
2,2018,The Bluff,4000,4000,352.9736255495918,490.04640661208464,46.78290245874824,1396.9461458954852,353 (46.8 to 1396.9)
2,2018,West Island Outer,4000,4000,779.4054886054984,1053.8504671558592,112.10178635988373,2973.6016249839663,779.4 (112.1 to 2973.6)
2,2018,Whalebone,4000,4000,78.71220928926752,2574.3890175685224,1.5067488945220813,4958.105807157841,78.7 (1.5 to 4958.1)
2,2018,Yankalilla Mouth,4000,4000,74.65284739950431,597.3780072448109,2.400671977079555,2041.0004855282195,74.7 (2.4 to 2041)
