OpCode,SZname,SZFullname,SiteName,InOutSZ,YearMonth,FieldSeason,MPZoneID,MPNAME,RES_NUM
CENI01_1701,CE,Cape Elizabeth,CEN,I,1701,2016_17,52,Eastern Spencer Gulf,11
CENI02_1701,CE,Cape Elizabeth,CEN,I,1701,2016_17,52,Eastern Spencer Gulf,11
CENI03_1701,CE,Cape Elizabeth,CEN,I,1701,2016_17,52,Eastern Spencer Gulf,11
CENI04_1701,CE,Cape Elizabeth,CEN,I,1701,2016_17,52,Eastern Spencer Gulf,11
CENO01_1701,CE,Cape Elizabeth,CEN,O,1701,2016_17,52,Eastern Spencer Gulf,11
CENO02_1701,CE,Cape Elizabeth,CEN,O,1701,2016_17,52,Eastern Spencer Gulf,11
CENO03_1701,CE,Cape Elizabeth,CEN,O,1701,2016_17,52,Eastern Spencer Gulf,11
CENO04_1701,CE,Cape Elizabeth,CEN,O,1701,2016_17,52,Eastern Spencer Gulf,11
CESI01_1701,CE,Cape Elizabeth,CES,I,1701,2016_17,52,Eastern Spencer Gulf,11
CESI02_1701,CE,Cape Elizabeth,CES,I,1701,2016_17,52,Eastern Spencer Gulf,11
CESI03_1701,CE,Cape Elizabeth,CES,I,1701,2016_17,52,Eastern Spencer Gulf,11
CESI04_1701,CE,Cape Elizabeth,CES,I,1701,2016_17,52,Eastern Spencer Gulf,11
CESO01_1701,CE,Cape Elizabeth,CES,O,1701,2016_17,52,Eastern Spencer Gulf,11
CESO02_1701,CE,Cape Elizabeth,CES,O,1701,2016_17,52,Eastern Spencer Gulf,11
CESO03_1701,CE,Cape Elizabeth,CES,O,1701,2016_17,52,Eastern Spencer Gulf,11
CESO04_1701,CE,Cape Elizabeth,CES,O,1701,2016_17,52,Eastern Spencer Gulf,11
ARSO01_1612,AR,Aldinga Reef,ARS,O,1612,2016_17,66,Encounter,15
ARSO02_1612,AR,Aldinga Reef,ARS,O,1612,2016_17,66,Encounter,15
ARSO03_1612,AR,Aldinga Reef,ARS,O,1612,2016_17,66,Encounter,15
ARSO04_1612,AR,Aldinga Reef,ARS,O,1612,2016_17,66,Encounter,15
CACI01_1612,CA,Carrickalinga Cliffs,CAC,I,1612,2016_17,67,Encounter,15
CACI02_1612,CA,Carrickalinga Cliffs,CAC,I,1612,2016_17,67,Encounter,15
CACI03_1612,CA,Carrickalinga Cliffs,CAC,I,1612,2016_17,67,Encounter,15
CACI04_1612,CA,Carrickalinga Cliffs,CAC,I,1612,2016_17,67,Encounter,15
CANI01_1612,CA,Carrickalinga Cliffs,CAN,I,1612,2016_17,67,Encounter,15
CANI02_1612,CA,Carrickalinga Cliffs,CAN,I,1612,2016_17,67,Encounter,15
CANI03_1612,CA,Carrickalinga Cliffs,CAN,I,1612,2016_17,67,Encounter,15
CANI04_1612,CA,Carrickalinga Cliffs,CAN,I,1612,2016_17,67,Encounter,15
CANO01_1612,CA,Carrickalinga Cliffs,CAN,O,1612,2016_17,67,Encounter,15
CANO02_1612,CA,Carrickalinga Cliffs,CAN,O,1612,2016_17,67,Encounter,15
CANO03_1612,CA,Carrickalinga Cliffs,CAN,O,1612,2016_17,67,Encounter,15
CANO04_1612,CA,Carrickalinga Cliffs,CAN,O,1612,2016_17,67,Encounter,15
CASI01_1612,CA,Carrickalinga Cliffs,CAS,I,1612,2016_17,67,Encounter,15
CASI02_1612,CA,Carrickalinga Cliffs,CAS,I,1612,2016_17,67,Encounter,15
CASI03_1612,CA,Carrickalinga Cliffs,CAS,I,1612,2016_17,67,Encounter,15
CASI04_1612,CA,Carrickalinga Cliffs,CAS,I,1612,2016_17,67,Encounter,15
CASO01_1612,CA,Carrickalinga Cliffs,CAS,O,1612,2016_17,67,Encounter,15
CASO02_1612,CA,Carrickalinga Cliffs,CAS,O,1612,2016_17,67,Encounter,15
CASO03_1612,CA,Carrickalinga Cliffs,CAS,O,1612,2016_17,67,Encounter,15
CASO04_1612,CA,Carrickalinga Cliffs,CAS,O,1612,2016_17,67,Encounter,15
CUEI01_1701,CU,Cuttlefish Coast,CUE,I,1701,2016_17,47,Upper Spencer Gulf,10
CUEI02_1701,CU,Cuttlefish Coast,CUE,I,1701,2016_17,47,Upper Spencer Gulf,10
CUEI03_1701,CU,Cuttlefish Coast,CUE,I,1701,2016_17,47,Upper Spencer Gulf,10
CUEI04_1701,CU,Cuttlefish Coast,CUE,I,1701,2016_17,47,Upper Spencer Gulf,10
CUEO01_1701,CU,Cuttlefish Coast,CUE,O,1701,2016_17,47,Upper Spencer Gulf,10
CUEO02_1701,CU,Cuttlefish Coast,CUE,O,1701,2016_17,47,Upper Spencer Gulf,10
CUEO03_1701,CU,Cuttlefish Coast,CUE,O,1701,2016_17,47,Upper Spencer Gulf,10
CUEO04_1701,CU,Cuttlefish Coast,CUE,O,1701,2016_17,47,Upper Spencer Gulf,10
CUWI01_1701,CU,Cuttlefish Coast,CUW,I,1701,2016_17,47,Upper Spencer Gulf,10
CUWI02_1701,CU,Cuttlefish Coast,CUW,I,1701,2016_17,47,Upper Spencer Gulf,10
CUWI03_1701,CU,Cuttlefish Coast,CUW,I,1701,2016_17,47,Upper Spencer Gulf,10
CUWI04_1701,CU,Cuttlefish Coast,CUW,I,1701,2016_17,47,Upper Spencer Gulf,10
CUWO01_1701,CU,Cuttlefish Coast,CUW,O,1701,2016_17,47,Upper Spencer Gulf,10
CUWO02_1701,CU,Cuttlefish Coast,CUW,O,1701,2016_17,47,Upper Spencer Gulf,10
CUWO03_1701,CU,Cuttlefish Coast,CUW,O,1701,2016_17,47,Upper Spencer Gulf,10
CUWO04_1701,CU,Cuttlefish Coast,CUW,O,1701,2016_17,47,Upper Spencer Gulf,10
